CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2023-02-11 23:14:16.4611136,C:\Windows\System32\SRU\SRU00013.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU00013.log,65536,42F681D8F45D3E9C3B6E14F7D5B6E7569B3E469F,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.8083374,2023-02-12 00:05:00.8083374,00:00:00.0790173
2023-02-11 23:14:16.5546387,C:\Windows\System32\SRU\SRU00014.log,E:\23-0211_1Win\C\Windows\System32\SRU\SRU00014.log,65536,DE55D7890E05BF993645B3F377F042A9063FDB48,False,2023-02-06 03:48:17.6111499,2023-02-12 00:05:00.8713465,2023-02-12 00:05:00.8713465,00:00:00.0785183
2023-02-11 23:14:16.9922091,C:\Windows\System32\SRU\SRUDB.dat,E:\23-0211_1Win\C\Windows\System32\SRU\SRUDB.dat,1310720,7A1CB261E3F506C42EB4C112766C40D597A2F2FF,False,2023-02-06 03:48:17.6111499,2023-02-12 00:07:01.0272087,2023-02-12 00:07:01.0272087,00:00:00.4065731
2023-02-11 23:14:17.0862332,C:\Windows\System32\SRU\SRUDB.jfm,E:\23-0211_1Win\C\Windows\System32\SRU\SRUDB.jfm,16384,6A5B447D69E73AD931D79542540B5EA3473E7AA6,False,2023-02-06 03:48:17.6111499,2023-02-12 00:07:01.0272087,2023-02-12 00:07:01.0272087,00:00:00.0625132
2023-02-11 23:14:17.1952463,C:\Windows\System32\SRU\SRUres00001.jrs,E:\23-0211_1Win\C\Windows\System32\SRU\SRUres00001.jrs,65536,1ADC95BEBE9EEA8C112D40CD04AB7A8D75C4F961,False,2023-02-06 03:48:17.6111499,2023-02-06 03:48:17.6111499,2023-02-06 03:48:17.6111499,00:00:00.0935101
2023-02-11 23:14:17.3987827,C:\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1280.db,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1280.db,24,B254D47F2B9769F13B033CAE2B0571D68D42E5EB,False,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,00:00:00.0625158
2023-02-11 23:14:17.4922990,C:\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1920.db,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_1920.db,24,F1EAAA628678441481309261FABC9D155C0DD6CB,False,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,00:00:00.0632035
2023-02-11 23:14:17.8203541,C:\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_96.db,3145728,3C4A833F1EBBA90D76B93FD32B14201309C91E87,False,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,2023-02-11 23:10:03.0616176,00:00:00.2816140
2023-02-11 23:14:17.8983651,C:\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_custom_stream.db,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_custom_stream.db,24,D3E8D4AF812BBC4F4013C53C4FFAB992D1D714E3,False,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,00:00:00.0625040
2023-02-11 23:14:18.0078875,C:\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_exif.db,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_exif.db,24,78E7DA8D08E8898E956521D3B1BABBF6524E1DCA,False,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,00:00:00.0785227
2023-02-11 23:14:18.0859050,C:\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_sr.db,24,930823EC80B85EDD22BAF555CAD21CDF48F066AA,False,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,00:00:00.0625104
2023-02-11 23:14:18.1804454,C:\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_wide.db,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_wide.db,24,5696B34625F027EC01765FC2BE49EFCFD882BF8E,False,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,00:00:00.0625190
2023-02-11 23:14:18.2734338,C:\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_wide_alternate.db,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Microsoft\Windows\Explorer\thumbcache_wide_alternate.db,24,A4DB9C8586B9E4FA24416EB0D00F06A9EBD16B02,False,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,2023-02-06 01:55:00.1906765,00:00:00.0619906
2023-02-11 23:14:18.4769667,C:\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\Settings\settings.dat,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\Settings\settings.dat,8192,C0EE6155B9B6913C69678F323E2EABFD377C479A,False,2023-02-06 01:54:59.7841255,2019-12-07 09:08:41.6291160,2023-02-06 01:54:59.7841255,00:00:00.0468223
2023-02-11 23:14:18.7110143,C:\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\26310719480\squaretile.png,E:\23-0211_1Win\C\Users\gunna\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\LocalState\PinnedTiles\26310719480\squaretile.png,2393,431C1B061BD28F998CA046BF8F08FA91E1CFCE93,False,2023-02-06 01:55:04.0338627,2023-02-06 01:55:04.0338627,2023-02-06 01:55:04.0338627,00:00:00.0630051
