[2023-02-11 15:12:56.8828150 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RadioMgr.etl due to IOException...
[2023-02-11 15:12:57.1948658 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\Wifi.etl due to IOException...
[2023-02-11 15:12:57.1948658 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.1948658 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.2108597 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.2108597 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagtrack-Listener.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.2108597 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.2108597 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.2108597 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.2108597 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTSgrmEtwSession.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.2108597 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.2108597 | INF]   Deferring C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTWFP-IPsec Diagnostics.etl due to UnauthorizedAccessException...
[2023-02-11 15:12:57.9139854 | INF]   Deferring C:\Windows\System32\SleepStudy\UserNotPresentSession.etl due to IOException...
[2023-02-11 15:12:58.5235945 | INF]   Deferring C:\Windows\System32\SleepStudy\ScreenOn\ScreenOnPowerStudyTraceSession-2023-02-11-15-48-33.etl due to IOException...
[2023-02-11 15:12:59.3047315 | INF]   Deferring C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\Logs\dosvc.20230211_230646_383.etl due to IOException...
